BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;20.02.2017;Индекс МосБиржи;Индекс МосБиржи;2119,09;2132,47;2136,8;2113,03;25017968927;;;2;9932345695550,44;RUB;4687074196,6025;3;
SNDX;IMOEX;21.02.2017;Индекс МосБиржи;Индекс МосБиржи;2127,72;2118,85;2135,97;2111,55;25802257924;;;2;9972798485426,5;RUB;4687074196,6025;3;
SNDX;IMOEX;22.02.2017;Индекс МосБиржи;Индекс МосБиржи;2106,3;2128,98;2130,8;2094,85;31743152868;;;2;9872406480184,59;RUB;4687074196,6025;3;
SNDX;IMOEX;24.02.2017;Индекс МосБиржи;Индекс МосБиржи;2093,09;2106,96;2106,96;2081,35;24698036843;;;2;9810467855240,15;RUB;4687074196,6025;3;
SNDX;IMOEX;27.02.2017;Индекс МосБиржи;Индекс МосБиржи;2056,46;2095,51;2097,2;2054,93;33521701224;;;2;9638799281036,69;RUB;4687074196,6025;3;
SNDX;IMOEX;28.02.2017;Индекс МосБиржи;Индекс МосБиржи;2035,77;2057,74;2057,77;2027,05;59230525482;;;2;9541800100483,56;RUB;4687074196,6025;3;
SNDX;IMOEX;01.03.2017;Индекс МосБиржи;Индекс МосБиржи;2059,87;2034,28;2063,67;2030,49;35156360450;;;2;9654768000061,87;RUB;4687074196,6025;3;
SNDX;IMOEX;02.03.2017;Индекс МосБиржи;Индекс МосБиржи;2049;2062,61;2076,71;2044,25;39659486462;;;2;9603797860109,18;RUB;4687074196,6025;3;
SNDX;IMOEX;03.03.2017;Индекс МосБиржи;Индекс МосБиржи;2056,89;2046,61;2056,89;2032,27;31462614291;;;2;9640780825441,59;RUB;4687074196,6025;3;
SNDX;IMOEX;06.03.2017;Индекс МосБиржи;Индекс МосБиржи;2047,42;2056,63;2071,69;2045,28;26840317666;;;2;9596414164174,6;RUB;4687074196,6025;3;
SNDX;IMOEX;07.03.2017;Индекс МосБиржи;Индекс МосБиржи;2024,84;2047,59;2048,98;2009;34600927950;;;2;9490568180963,22;RUB;4687074196,6025;3;
SNDX;IMOEX;09.03.2017;Индекс МосБиржи;Индекс МосБиржи;1974,24;2010,85;2020,04;1971,73;56369667357;;;2;9253401483519,22;RUB;4687074196,6025;3;
SNDX;IMOEX;10.03.2017;Индекс МосБиржи;Индекс МосБиржи;1973,96;1977,75;1989,06;1965,23;38834557616;;;2;9252098330867,97;RUB;4687074196,6025;3;
SNDX;IMOEX;13.03.2017;Индекс МосБиржи;Индекс МосБиржи;2000,14;1972,66;2001,71;1968,61;27317778869;;;2;9374822171578,54;RUB;4687074196,6025;3;
SNDX;IMOEX;14.03.2017;Индекс МосБиржи;Индекс МосБиржи;2001,25;2001,4;2018,42;1990,55;33708845678;;;2;9380023867454,86;RUB;4687074196,6025;3;
SNDX;IMOEX;15.03.2017;Индекс МосБиржи;Индекс МосБиржи;1992,59;2003,09;2018,39;1989,12;28134110175;;;2;9339412556929,75;RUB;4687074196,6025;3;
SNDX;IMOEX;16.03.2017;Индекс МосБиржи;Индекс МосБиржи;2014,37;2001,82;2021,05;1998,24;49622252909;;;2;9441486583424,48;RUB;4687074196,6025;3;
SNDX;IMOEX;17.03.2017;Индекс МосБиржи;Индекс МосБиржи;2036,96;2015,59;2045,85;2013,82;43408044658;;;2;9741964289704,82;RUB;4782605957,6012;3;
SNDX;IMOEX;20.03.2017;Индекс МосБиржи;Индекс МосБиржи;2042,72;2038,99;2051,5;2024,85;30739790860;;;2;9769529957786,96;RUB;4782605957,6012;3;
SNDX;IMOEX;21.03.2017;Индекс МосБиржи;Индекс МосБиржи;2048,07;2045,19;2067,4;2040,55;34653523262;;;2;9795091194273,68;RUB;4782605957,6012;3;
SNDX;IMOEX;22.03.2017;Индекс МосБиржи;Индекс МосБиржи;2061,53;2042,65;2061,53;2030,55;37041863228;;;2;9859462645754,97;RUB;4782605957,6012;3;
SNDX;IMOEX;23.03.2017;Индекс МосБиржи;Индекс МосБиржи;2051,04;2065,37;2072,91;2040,18;32278458613;;;2;9809304684373,51;RUB;4782605957,6012;3;
SNDX;IMOEX;24.03.2017;Индекс МосБиржи;Индекс МосБиржи;2039,77;2047,78;2052,9;2036,3;21233341858;;;2;9755429519632,94;RUB;4782605957,6012;3;
SNDX;IMOEX;27.03.2017;Индекс МосБиржи;Индекс МосБиржи;2013,16;2034,1;2034,1;1997,92;25919840323;;;2;9628156914874,21;RUB;4782605957,6012;3;
SNDX;IMOEX;28.03.2017;Индекс МосБиржи;Индекс МосБиржи;2032,54;2016,95;2032,54;2010,92;25069436844;;;2;9720845128292,89;RUB;4782605957,6012;3;
SNDX;IMOEX;29.03.2017;Индекс МосБиржи;Индекс МосБиржи;2023,71;2032,49;2037,58;2013,13;21501534788;;;2;9678612161999,83;RUB;4782605957,6012;3;
SNDX;IMOEX;30.03.2017;Индекс МосБиржи;Индекс МосБиржи;2021,88;2025;2026,94;2012,07;24820610557;;;2;9669875986149,86;RUB;4782605957,6012;3;
SNDX;IMOEX;31.03.2017;Индекс МосБиржи;Индекс МосБиржи;1995,9;2021,16;2022,24;1992,95;23908791980;;;2;9545586509157,19;RUB;4782605957,6012;3;
SNDX;IMOEX;03.04.2017;Индекс МосБиржи;Индекс МосБиржи;2008,61;1998,55;2014,18;1992,67;20591635070;;;2;9606378432017,32;RUB;4782605957,6012;3;
SNDX;IMOEX;04.04.2017;Индекс МосБиржи;Индекс МосБиржи;2025,69;2007,9;2028,01;2005,61;20589349584;;;2;9688072161037,64;RUB;4782605957,6012;3;
SNDX;IMOEX;05.04.2017;Индекс МосБиржи;Индекс МосБиржи;2056,32;2028,71;2057,03;2028,12;33005042734;;;2;9834588472328,65;RUB;4782605957,6012;3;
SNDX;IMOEX;06.04.2017;Индекс МосБиржи;Индекс МосБиржи;2054,69;2052,05;2058,11;2043,42;22710629637;;;2;9826759499167,05;RUB;4782605957,6012;3;
SNDX;IMOEX;07.04.2017;Индекс МосБиржи;Индекс МосБиржи;2020,23;2046,78;2048,63;2010,92;34864697913;;;2;9661959579034,67;RUB;4782605957,6012;3;
SNDX;IMOEX;10.04.2017;Индекс МосБиржи;Индекс МосБиржи;1971,23;2017,75;2018,03;1965,58;40058371369;;;2;9427610995924,61;RUB;4782605957,6012;3;
SNDX;IMOEX;11.04.2017;Индекс МосБиржи;Индекс МосБиржи;1977,95;1969,12;1994,26;1965,8;32506887352;;;2;9459743277784,31;RUB;4782605957,6012;3;
SNDX;IMOEX;12.04.2017;Индекс МосБиржи;Индекс МосБиржи;1947,88;1985,69;1986,56;1942,58;29979954344;;;2;9315942085658,52;RUB;4782605957,6012;3;
