Date,Income,Outcome,Balance
2017-04-17 00:00:00.000,"1,033696249","1,182176393","-0,1484801434"
2017-04-18 00:00:00.000,"0,8851760278","0,95583941","-0,07066338221"
2017-04-19 00:00:00.000,"1,041367151","0,9313233993","0,1100437517"
2017-04-20 00:00:00.000,"1,167651616","1,042982887","0,1246687287"
2017-04-21 00:00:00.000,"0,9113010897","0,9984635817","-0,08716249195"
2017-04-22 00:00:00.000,0,0,0
2017-04-23 00:00:00.000,0,0,0
2017-04-24 00:00:00.000,"1,119605221","1,250073972","-0,1304687509"
2017-04-25 00:00:00.000,"1,22277927","1,41E+00","-0,1876845809"
2017-04-26 00:00:00.000,"1,300629066","1,36E+00","-0,05082421305"
2017-04-27 00:00:00.000,"1,50E+00","1,47E+00","0,0168028509"
2017-04-28 00:00:00.000,"1,50E+00","1,94E+00","-0,4322620673"
2017-04-29 00:00:00.000,0,0,0
2017-04-30 00:00:00.000,0,0,0
2017-05-01 00:00:00.000,0,0,0
2017-05-02 00:00:00.000,"1,230068563","1,40E+00","-0,1672854181"
2017-05-03 00:00:00.000,"0,9407604269","1,016388559","-0,07562813221"
2017-05-04 00:00:00.000,"1,11458012","0,8358375723","0,2787425476"
2017-05-05 00:00:00.000,"1,15142275","0,9411555771","0,2102671726"
2017-05-06 00:00:00.000,0,0,0
2017-05-07 00:00:00.000,0,0,0
2017-05-08 00:00:00.000,0,0,0
2017-05-09 00:00:00.000,0,0,0
2017-05-10 00:00:00.000,"1,185414483","1,36E+00","-0,1651930243"
2017-05-11 00:00:00.000,"1,40E+00","1,53E+00","-0,1316888036"
2017-05-12 00:00:00.000,"1,177616425","1,090198186","0,08741823892"
2017-05-13 00:00:00.000,0,0,0
2017-05-14 00:00:00.000,0,0,0
2017-05-15 00:00:00.000,"1,26627904","1,277811976","-0,01153293613"
2017-05-16 00:00:00.000,"1,187869425","1,063939597","0,1239298276"
2017-05-17 00:00:00.000,"1,097412001","1,174756781","-0,07734477963"
2017-05-18 00:00:00.000,"1,306750389","1,175520475","0,1312299149"
2017-05-19 00:00:00.000,"1,05319726","1,042989438","0,01020782206"
2017-05-20 00:00:00.000,0,0,0
2017-05-21 00:00:00.000,0,0,0
2017-05-22 00:00:00.000,"1,32E+00","1,288598502","0,03401389779"
2017-05-23 00:00:00.000,"1,10811128","2,00E+00","-0,8904535302"
2017-05-24 00:00:00.000,"1,115531121","1,104929853","0,01060126833"
2017-05-25 00:00:00.000,"1,40E+00","1,49E+00","-0,08104446943"
2017-05-26 00:00:00.000,"1,80E+00","1,108867836","0,6988689322"
2017-05-27 00:00:00.000,0,0,0
2017-05-28 00:00:00.000,0,0,0
2017-05-29 00:00:00.000,"1,32E+00","1,38E+00","-0,05366174212"
2017-05-30 00:00:00.000,"1,149862027","1,121067314","0,02879471312"
2017-05-31 00:00:00.000,"1,44E+00","1,41E+00","0,02256673096"
2017-06-01 00:00:00.000,"1,028209991","0,9926121191","0,03559787236"
2017-06-02 00:00:00.000,"0,9489075482","1,094212009","-0,1453044607"
2017-06-03 00:00:00.000,0,0,0
2017-06-04 00:00:00.000,0,0,0
2017-06-05 00:00:00.000,"1,209164275","1,143492261","0,06567201407"
2017-06-06 00:00:00.000,"1,41E+00","1,162319468","0,2451412047"
2017-06-07 00:00:00.000,"0,937428128","1,03702281","-0,09959468244"
2017-06-08 00:00:00.000,"1,084477601","0,8988362001","0,1856414004"
2017-06-09 00:00:00.000,"1,184309119","0,9769860878","0,2073230316"
2017-06-10 00:00:00.000,0,0,0
2017-06-11 00:00:00.000,0,0,0
2017-06-12 00:00:00.000,0,0,0
2017-06-13 00:00:00.000,"1,57E+00","1,245105848","0,3267360925"
2017-06-14 00:00:00.000,"1,45E+00","1,53E+00","-0,07702079257"
2017-06-15 00:00:00.000,"1,53E+00","1,192455368","0,33558273"
2017-06-16 00:00:00.000,"1,080025844","1,00807326","0,07195258317"
2017-06-17 00:00:00.000,0,0,0
2017-06-18 00:00:00.000,0,0,0
2017-06-19 00:00:00.000,"1,167999975","1,295084133","-0,1270841572"
2017-06-20 00:00:00.000,"1,177691922","1,07490592","0,1027860025"
2017-06-21 00:00:00.000,"0,9708599301","1,112697402","-0,1418374718"
2017-06-22 00:00:00.000,"1,071641988","1,124310349","-0,05266836025"
2017-06-23 00:00:00.000,"1,250474701","1,256534144","-0,006059442927"
2017-06-24 00:00:00.000,0,0,0
2017-06-25 00:00:00.000,0,0,0
2017-06-26 00:00:00.000,"1,312975923","1,49E+00","-0,1732348627"
2017-06-27 00:00:00.000,"1,47E+00","1,21556149","0,2573340769"
2017-06-28 00:00:00.000,"1,69E+00","1,33E+00","0,3612853046"
2017-06-29 00:00:00.000,"1,42E+00","1,54E+00","-0,1123890431"
2017-06-30 00:00:00.000,"1,61E+00","1,92E+00","-0,3220249775"
2017-07-01 00:00:00.000,0,0,0
2017-07-02 00:00:00.000,0,0,0
2017-07-03 00:00:00.000,"1,243487922","1,49E+00","-0,2478050356"
2017-07-04 00:00:00.000,"1,45E+00","1,082020579","0,3696979468"
2017-07-05 00:00:00.000,"1,075393532","0,9637936026","0,1115999298"
2017-07-06 00:00:00.000,"1,139609512","1,075876211","0,06373330139"
2017-07-07 00:00:00.000,"1,031289297","0,9236443064","0,1076449902"
2017-07-08 00:00:00.000,0,0,0
2017-07-09 00:00:00.000,0,0,0
2017-07-10 00:00:00.000,"1,46E+00","1,13659096","0,3244725646"
2017-07-11 00:00:00.000,"1,268554793","1,058921171","0,2096336219"
2017-07-12 00:00:00.000,"1,092821563","1,036495391","0,0563261725"
2017-07-13 00:00:00.000,"1,255645526","0,9211627985","0,334482728"
2017-07-14 00:00:00.000,"1,039702265","1,46E+00","-0,4246252561"
2017-07-15 00:00:00.000,0,0,0
2017-07-16 00:00:00.000,0,0,0
2017-07-17 00:00:00.000,"1,24948912","1,34E+00","-0,09529091701"
2017-07-18 00:00:00.000,"0,9899737017","1,099377906","-0,109404204"
2017-07-19 00:00:00.000,"1,207347193","1,127377057","0,07997013552"
2017-07-20 00:00:00.000,"2,09E+00","1,042624827","1,05433559"
